Fecha;Confirmados Acumulados;Recuperados Acumulados;Fallecidos Acumulados
2020/03/06;1;0;0
2020/03/07;6;0;0
2020/03/08;7;0;0
2020/03/09;9;0;0
2020/03/10;11;0;0
2020/03/11;17;0;0
2020/03/12;22;0;0
2020/03/13;38;0;0
2020/03/14;43;0;0
2020/03/15;71;0;0
2020/03/16;86;1;0
2020/03/17;117;1;0
2020/03/18;145;1;0
2020/03/19;234;1;3
2020/03/20;263;1;4
2020/03/21;318;1;5
2020/03/22;363;1;5
2020/03/23;395;1;5
2020/03/24;416;1;7
